Latitude,Longitude,Anomaly
57.5,-52.5,1.23
57.5,-47.5,1.14
57.5,-42.5,0.9
57.5,-37.5,0.95
57.5,-32.5,1.06
57.5,-27.5,1.08
57.5,-22.5,1.01
57.5,-17.5,0.98
57.5,-12.5,0.89
57.5,-7.5,0.72
57.5,-2.5,0.76
52.5,2.5,0.98
52.5,7.5,0.99
52.5,12.5,0.55
52.5,17.5,-0.09
52.5,22.5,0.91
52.5,27.5,1.93
52.5,32.5,3.86
52.5,37.5,4.58
52.5,42.5,5.09
52.5,47.5,5.68
52.5,52.5,5.6
52.5,57.5,5.09
52.5,62.5,4.97
52.5,67.5,3.81
52.5,72.5,3.14
52.5,77.5,2.48
52.5,82.5,2.98
52.5,87.5,2.89
52.5,92.5,3.48
52.5,97.5,2.27
52.5,102.5,3.46
52.5,107.5,3.87
52.5,112.5,2.44
52.5,117.5,2.98
52.5,122.5,2.55
52.5,127.5,2.46
52.5,132.5,1.48
52.5,137.5,-0.25
52.5,142.5,-0.15
52.5,147.5,-0.19
52.5,152.5,-0.17
52.5,157.5,-0.37
52.5,162.5,-0.45
52.5,167.5,-0.01
52.5,172.5,0.05
52.5,177.5,0.23
52.5,-177.5,0.35
52.5,-172.5,0.24
52.5,-167.5,0.24
52.5,-162.5,0.47
52.5,-157.5,0.49
52.5,-152.5,0.29
52.5,-147.5,0.08
52.5,-142.5,-0.02
52.5,-137.5,0.14
52.5,-132.5,0.33
52.5,-127.5,1.16
52.5,-122.5,2.68
52.5,-117.5,3.14
52.5,-112.5,1.84
52.5,-107.5,2.14
52.5,-102.5,3.27
52.5,-97.5,3.05
52.5,-92.5,2.56
52.5,-87.5,3.11
52.5,-82.5,1.97
52.5,-77.5,1.18
52.5,-72.5,0.58
52.5,-67.5,1.26
52.5,-62.5,1.95
52.5,-57.5,1.68
52.5,-52.5,1.08
52.5,-47.5,0.93
52.5,-42.5,0.53
52.5,-37.5,0.49
52.5,-32.5,0.62
52.5,-27.5,0.73
52.5,-22.5,0.7
52.5,-17.5,0.7
52.5,-12.5,0.67
52.5,-7.5,0.57
52.5,-2.5,0.76
47.5,2.5,1.01
47.5,7.5,0.36
47.5,12.5,-0.23
47.5,17.5,-0.27
47.5,22.5,1.5
47.5,27.5,2.84
47.5,32.5,4.06
47.5,37.5,4.14
47.5,42.5,5.25
47.5,47.5,4.45
47.5,52.5,4.03
47.5,57.5,5.3
47.5,62.5,4.58
47.5,67.5,4.38
47.5,72.5,3.14
47.5,77.5,2.2
47.5,82.5,1.37
47.5,87.5,1.42
47.5,92.5,0.96
47.5,97.5,0.47
47.5,102.5,1.53
47.5,107.5,1.94
47.5,112.5,3.07
47.5,117.5,3.11
47.5,122.5,2.78
47.5,127.5,2.61
47.5,132.5,2.03
47.5,137.5,1.34
47.5,142.5,1.1
47.5,147.5,0.36
47.5,152.5,-0.17
47.5,157.5,-0.71
47.5,162.5,-0.59
47.5,167.5,-0.1
47.5,172.5,0.26
47.5,177.5,0.79
47.5,-177.5,0.95
47.5,-172.5,0.68
47.5,-167.5,0.52
47.5,-162.5,0.43
47.5,-157.5,0.3
47.5,-152.5,-0.06
47.5,-147.5,-0.33
47.5,-142.5,-0.46
47.5,-137.5,-0.22
47.5,-132.5,0.12
47.5,-127.5,0.45
47.5,-122.5,1.35
47.5,-117.5,2.82
47.5,-112.5,3.49
47.5,-107.5,2.96
47.5,-102.5,2.24
47.5,-97.5,2.9
47.5,-92.5,1.77
47.5,-87.5,0.62
47.5,-82.5,0.31
47.5,-77.5,-0.56
47.5,-72.5,-0.31
47.5,-67.5,0.28
47.5,-62.5,1.53
47.5,-57.5,1.55
47.5,-52.5,1.08
47.5,-47.5,0.56
47.5,-42.5,-0.01
47.5,-37.5,-0.1
47.5,-32.5,0.06
47.5,-27.5,0.27
47.5,-22.5,0.41
47.5,-17.5,0.47
47.5,-12.5,0.59
47.5,-7.5,0.66
47.5,-2.5,0.89
42.5,2.5,0.97
42.5,7.5,1
42.5,12.5,0.67
42.5,17.5,0.49
42.5,22.5,1.69
42.5,27.5,2.47
42.5,32.5,2.15
42.5,37.5,1.95
42.5,42.5,3.52
42.5,47.5,2.51
42.5,52.5,1.9
42.5,57.5,3.4
42.5,62.5,2.71
42.5,67.5,0.44
42.5,72.5,1.81
42.5,77.5,-0.15
42.5,82.5,-0.14
42.5,87.5,0.16
42.5,92.5,0.22
42.5,97.5,0.79
42.5,102.5,0.97
42.5,107.5,1.62
42.5,112.5,2.08
42.5,117.5,3.15
42.5,122.5,2.67
42.5,127.5,2.23
42.5,132.5,1.04
42.5,137.5,1.75
42.5,142.5,1.62
42.5,147.5,0.76
42.5,152.5,0.17
42.5,157.5,-0.07
42.5,162.5,0.13
42.5,167.5,0.72
42.5,172.5,1.2
42.5,177.5,1.63
42.5,-177.5,1.86
42.5,-172.5,1.68
42.5,-167.5,1.38
42.5,-162.5,0.89
42.5,-157.5,0.49
42.5,-152.5,0.01
42.5,-147.5,-0.3
42.5,-142.5,-0.35
42.5,-137.5,-0.24
42.5,-132.5,0.23
42.5,-127.5,0.65
42.5,-122.5,2.16
42.5,-117.5,3.63
42.5,-112.5,4.23
42.5,-107.5,3.9
42.5,-102.5,2.76
42.5,-97.5,2.18
42.5,-92.5,1.45
42.5,-87.5,0.48
42.5,-82.5,0.21
42.5,-77.5,-0.28
42.5,-72.5,-0.46
42.5,-67.5,0.34
42.5,-62.5,0.72
42.5,-57.5,0.46
42.5,-52.5,0.14
42.5,-47.5,-0.11
42.5,-42.5,-0.05
42.5,-37.5,0.01
42.5,-32.5,0.11
42.5,-27.5,0.36
42.5,-22.5,0.6
42.5,-17.5,0.69
42.5,-12.5,0.66
42.5,-7.5,0.69
42.5,-2.5,1.13
37.5,2.5,1.1
37.5,7.5,0.89
37.5,12.5,1.25
37.5,17.5,1.1
37.5,22.5,1.04
37.5,27.5,1.6
37.5,32.5,2.51
37.5,37.5,1.93
37.5,42.5,2.17
37.5,47.5,2.56
37.5,52.5,1.32
37.5,57.5,2.2
37.5,62.5,1.39
37.5,67.5,0.13
37.5,72.5,-1.87
37.5,77.5,-0.05
37.5,82.5,-0.23
37.5,87.5,0.76
37.5,92.5,0.87
37.5,97.5,0.26
37.5,102.5,1.07
37.5,107.5,0.96
37.5,112.5,0.99
37.5,117.5,2.25
37.5,122.5,0.8
37.5,127.5,1.18
37.5,132.5,0.87
37.5,137.5,0.99
37.5,142.5,1.03
37.5,147.5,1.03
37.5,152.5,0.6
37.5,157.5,0.25
37.5,162.5,0.59
37.5,167.5,0.86
37.5,172.5,1.26
37.5,177.5,1.68
37.5,-177.5,2.02
37.5,-172.5,2.02
37.5,-167.5,1.76
37.5,-162.5,1.31
37.5,-157.5,0.82
37.5,-152.5,0.46
37.5,-147.5,0.34
37.5,-142.5,0.41
37.5,-137.5,0.44
37.5,-132.5,0.66
37.5,-127.5,0.84
37.5,-122.5,1.19
37.5,-117.5,2.38
37.5,-112.5,3.48
37.5,-107.5,3.37
37.5,-102.5,2.84
37.5,-97.5,2.33
37.5,-92.5,1.93
37.5,-87.5,1.06
37.5,-82.5,0.39
37.5,-77.5,-0.11
37.5,-72.5,-0.53
37.5,-67.5,-0.17
37.5,-62.5,0.18
37.5,-57.5,0.24
37.5,-52.5,0.23
37.5,-47.5,0.28
37.5,-42.5,0.37
37.5,-37.5,0.38
37.5,-32.5,0.37
37.5,-27.5,0.61
37.5,-22.5,0.93
37.5,-17.5,0.94
37.5,-12.5,0.81
37.5,-7.5,0.68
37.5,-2.5,1.28
32.5,2.5,0.85
32.5,7.5,0.37
32.5,12.5,0.94
32.5,17.5,1.19
32.5,22.5,1.09
32.5,27.5,1.14
32.5,32.5,1.41
32.5,37.5,3.39
32.5,42.5,2.89
32.5,47.5,2.4
32.5,52.5,1.13
32.5,57.5,0.1
32.5,62.5,0.08
32.5,67.5,-0.3
32.5,72.5,-0.51
32.5,77.5,-1.14
32.5,82.5,0.09
32.5,87.5,1.2
32.5,92.5,0.6
32.5,97.5,0.55
32.5,102.5,0.81
32.5,107.5,1.64
32.5,112.5,1.92
32.5,117.5,1.49
32.5,122.5,0.82
32.5,127.5,0.92
32.5,132.5,0.89
32.5,137.5,0.61
32.5,142.5,0.4
32.5,147.5,0.16
32.5,152.5,0.13
32.5,157.5,0.29
32.5,162.5,0.46
32.5,167.5,0.67
32.5,172.5,1.13
32.5,177.5,1.52
32.5,-177.5,1.7
32.5,-172.5,1.69
32.5,-167.5,1.56
32.5,-162.5,1.24
32.5,-157.5,0.93
32.5,-152.5,0.77
32.5,-147.5,0.82
32.5,-142.5,0.95
32.5,-137.5,0.99
32.5,-132.5,0.99
32.5,-127.5,1.04
32.5,-122.5,1.02
32.5,-117.5,1.04
32.5,-112.5,1.98
32.5,-107.5,2.57
32.5,-102.5,3.43
32.5,-97.5,3.42
32.5,-92.5,2.52
32.5,-87.5,1.12
32.5,-82.5,0.85
32.5,-77.5,0.01
32.5,-72.5,-0.03
32.5,-67.5,0.12
32.5,-62.5,0.46
32.5,-57.5,0.67
32.5,-52.5,0.69
32.5,-47.5,0.63
32.5,-42.5,0.6
32.5,-37.5,0.68
32.5,-32.5,0.81
32.5,-27.5,1.01
32.5,-22.5,1.07
32.5,-17.5,0.95
32.5,-12.5,0.87
32.5,-7.5,1.12
32.5,-2.5,1.08
27.5,2.5,0.94
27.5,7.5,0.55
27.5,12.5,0.08
27.5,17.5,0.73
27.5,22.5,0.47
27.5,27.5,1.87
27.5,32.5,1.91
27.5,37.5,2.14
27.5,42.5,1.56
27.5,47.5,1.11
27.5,52.5,0.75
27.5,57.5,0.27
27.5,62.5,-0.95
27.5,67.5,-0.3
27.5,72.5,-0.47
27.5,77.5,-0.41
27.5,82.5,-0.05
27.5,87.5,1.11
27.5,92.5,1.29
27.5,97.5,1.55
27.5,102.5,0.52
27.5,107.5,0.59
27.5,112.5,1.2
27.5,117.5,0.91
27.5,122.5,0.73
27.5,127.5,1.13
27.5,132.5,1.21
27.5,137.5,0.89
27.5,142.5,0.55
27.5,147.5,0.22
27.5,152.5,0.44
27.5,157.5,0.83
27.5,162.5,0.87
27.5,167.5,1.11
27.5,172.5,1.31
27.5,177.5,1.34
27.5,-177.5,1.37
27.5,-172.5,1.26
27.5,-167.5,1.08
27.5,-162.5,0.83
27.5,-157.5,0.66
27.5,-152.5,0.58
27.5,-147.5,0.64
27.5,-142.5,0.79
27.5,-137.5,0.84
27.5,-132.5,0.84
27.5,-127.5,0.8
27.5,-122.5,0.73
27.5,-117.5,0.54
27.5,-112.5,0.72
27.5,-107.5,1.69
27.5,-102.5,3.06
27.5,-97.5,2.29
27.5,-92.5,0.99
27.5,-87.5,0.6
27.5,-82.5,0.35
27.5,-77.5,0.55
27.5,-72.5,0.61
27.5,-67.5,0.53
27.5,-62.5,0.67
27.5,-57.5,0.76
27.5,-52.5,0.77
27.5,-47.5,0.77
27.5,-42.5,0.81
27.5,-37.5,0.92
27.5,-32.5,1.02
27.5,-27.5,1.03
27.5,-22.5,0.99
27.5,-17.5,0.98
27.5,-12.5,1.29
27.5,-7.5,1.98
27.5,-2.5,0.9
22.5,2.5,0.99
22.5,7.5,0.4
22.5,12.5,-0.31
22.5,17.5,0.19
22.5,22.5,0.17
22.5,27.5,1.04
22.5,32.5,1.62
22.5,37.5,0.79
22.5,42.5,0.02
22.5,47.5,-0.33
22.5,52.5,0.01
22.5,57.5,-0.04
22.5,62.5,-0.04
22.5,67.5,-0.09
22.5,72.5,-0.64
22.5,77.5,-1.54
22.5,82.5,-0.12
22.5,87.5,0.34
22.5,92.5,1.48
22.5,97.5,1.12
22.5,102.5,-0.1
22.5,107.5,-0.56
22.5,112.5,0.09
22.5,117.5,0.4
22.5,122.5,0.81
22.5,127.5,1.39
22.5,132.5,1.49
22.5,137.5,1.11
22.5,142.5,0.86
22.5,147.5,0.75
22.5,152.5,0.91
22.5,157.5,1.09
22.5,162.5,1.06
22.5,167.5,1.07
22.5,172.5,1.04
22.5,177.5,0.88
22.5,-177.5,0.78
22.5,-172.5,0.6
22.5,-167.5,0.39
22.5,-162.5,0.35
22.5,-157.5,0.26
22.5,-152.5,0.24
22.5,-147.5,0.33
22.5,-142.5,0.4
22.5,-137.5,0.4
22.5,-132.5,0.36
22.5,-127.5,0.28
22.5,-122.5,0.19
22.5,-117.5,0.11
22.5,-112.5,0.29
22.5,-107.5,0.83
22.5,-102.5,1.48
22.5,-97.5,0.91
22.5,-92.5,0.84
22.5,-87.5,0.7
22.5,-82.5,0.67
22.5,-77.5,0.84
22.5,-72.5,0.81
22.5,-67.5,0.76
22.5,-62.5,0.78
22.5,-57.5,0.78
22.5,-52.5,0.76
22.5,-47.5,0.78
22.5,-42.5,0.82
22.5,-37.5,0.88
22.5,-32.5,0.89
22.5,-27.5,0.88
22.5,-22.5,0.99
22.5,-17.5,1.09
22.5,-12.5,2.08
22.5,-7.5,1.54
22.5,-2.5,1.19
17.5,2.5,-0.09
17.5,7.5,-0.12
17.5,12.5,0
17.5,17.5,0.16
17.5,22.5,0.02
17.5,27.5,0.79
17.5,32.5,0.57
17.5,37.5,0.5
17.5,42.5,-0.44
17.5,47.5,-2.01
17.5,52.5,-0.91
17.5,57.5,-0.21
17.5,62.5,-0.21
17.5,67.5,-0.1
17.5,72.5,-0.27
17.5,77.5,0.12
17.5,82.5,0.41
17.5,87.5,0.47
17.5,92.5,0.64
17.5,97.5,0.09
17.5,102.5,-0.82
17.5,107.5,-0.19
17.5,112.5,0.14
17.5,117.5,0.44
17.5,122.5,0.66
17.5,127.5,0.93
17.5,132.5,0.96
17.5,137.5,0.82
17.5,142.5,0.72
17.5,147.5,0.69
17.5,152.5,0.75
17.5,157.5,0.77
17.5,162.5,0.7
17.5,167.5,0.53
17.5,172.5,0.45
17.5,177.5,0.31
17.5,-177.5,0.18
17.5,-172.5,0.08
17.5,-167.5,0.01
17.5,-162.5,0.09
17.5,-157.5,0.1
17.5,-152.5,0.12
17.5,-147.5,0.16
17.5,-142.5,0.12
17.5,-137.5,0.09
17.5,-132.5,-0.01
17.5,-127.5,-0.1
17.5,-122.5,-0.11
17.5,-117.5,-0.06
17.5,-112.5,0.17
17.5,-107.5,0.55
17.5,-102.5,0.71
17.5,-97.5,0.93
17.5,-92.5,0.84
17.5,-87.5,0.58
17.5,-82.5,0.64
17.5,-77.5,0.6
17.5,-72.5,0.61
17.5,-67.5,0.62
17.5,-62.5,0.59
17.5,-57.5,0.62
17.5,-52.5,0.61
17.5,-47.5,0.59
17.5,-42.5,0.61
17.5,-37.5,0.61
17.5,-32.5,0.65
17.5,-27.5,0.68
17.5,-22.5,0.89
17.5,-17.5,1.32
17.5,-12.5,2.36
17.5,-7.5,1.62
17.5,-2.5,0.91
12.5,2.5,0.45
12.5,7.5,0.46
12.5,12.5,0.72
12.5,17.5,0
12.5,22.5,-0.43
12.5,27.5,-0.24
12.5,32.5,0.03
12.5,37.5,0.35
12.5,42.5,0.01
12.5,47.5,-0.23
12.5,52.5,-0.46
12.5,57.5,-0.48
12.5,62.5,-0.33
12.5,67.5,-0.24
12.5,72.5,-0.21
12.5,77.5,0.53
12.5,82.5,0.22
12.5,87.5,0.18
12.5,92.5,0.16
12.5,97.5,0.11
12.5,102.5,-0.35
12.5,107.5,0.24
